name	total	english	spanish	um	yeah	like	pues	eso
CHL	2472	0	0	22	49	75	0	1
LAU	3787	0	0	15	32	105	0	3
OSE	4605	0	0	0	5	0	0	0
MIG	8442	0	0	2	3	51	162	41
TOM	1754	0	0	0	1	0	20	5
ASH	3298	0	0	12	11	22	3	8
JAC	1517	0	0	3	8	5	3	9
NOA	2596	0	0	0	5	1	2	31
MEG	1952	0	0	0	1	0	0	14
NIC	1885	0	0	7	10	3	0	0
JES	2575	0	0	32	12	5	0	11
SEB	2561	0	0	15	72	61	0	2
RIC	1773	0	0	11	88	60	0	0
ROB	1644	0	0	17	14	11	0	0
MEL	1935	0	0	7	12	6	0	2
OSA	17	0	0	0	1	0	0	0
OSB	2	0	0	0	0	0	0	0
CLA	2762	0	0	18	26	32	0	0
LUK	3679	0	0	8	25	25	0	0
PAI	1313	0	0	0	11	8	1	6
SAR	2313	0	0	2	18	19	0	3
GRA	2379	0	0	0	2	0	0	18
CAL	1840	0	0	0	1	0	3	20
TIM	1344	0	0	2	6	0	10	8
VAN	2319	0	0	4	31	18	0	9
LEA	1355	0	0	2	34	9	0	3
CON	2088	0	0	2	9	24	4	15
GAB	2885	0	0	4	31	57	8	17
BRA	4133	0	0	39	71	250	0	0
EVN	1606	0	0	12	54	65	0	0
ABE	1461	0	0	3	3	2	2	4
IAN	1084	0	0	10	1	1	2	2
JAM	3573	0	0	30	21	81	1	13
IRI	2213	0	0	5	45	9	5	50
MAR	40300	0	0	146	173	183	17	57
KEV	3516	0	0	28	43	6	1	20
SOF	2663	0	0	5	26	19	0	8
LUI	2410	0	0	0	30	6	4	14
AVA	4781	0	0	1	0	0	16	36
OLI	2547	0	0	9	13	11	2	14
LAN	507	0	0	1	1	1	0	5
MAS	3004	0	0	12	14	10	6	18
EMI	2848	0	0	1	56	42	0	7
GIA	2561	0	0	2	36	56	0	0
LIL	2396	0	0	3	13	4	6	18
VIC	1788	0	0	1	0	0	1	14
AAR	3806	0	0	59	39	37	0	3
ALY	1199	0	0	4	14	8	0	0
JAD	2361	0	0	7	40	69	0	0
JUL	2123	0	0	11	37	46	0	1
AUD	3434	0	0	2	19	13	0	9
PAO	2255	0	0	25	45	18	0	4
KAY	4455	0	0	3	38	28	1	13
VAL	4051	0	0	6	88	13	1	12
JEN	5096	0	0	9	80	65	0	6
JOC	3425	0	0	3	50	40	0	0
DIE	5043	0	0	0	25	57	0	10
EVE	1678	0	0	2	12	0	1	20
MAD	3428	0	0	19	41	62	1	1
SAM	3087	0	0	12	68	54	0	2
COL	4400	0	0	27	62	321	0	0
ELI	2408	0	0	6	102	168	0	0
AME	2279	0	0	1	4	15	0	8
CAR	4521	0	0	15	3	16	6	20
MAT	2152	0	0	17	108	77	0	0
REB	2999	0	0	29	36	72	0	0
FEL	1728	0	0	19	40	48	0	1
ELE	2642	0	0	26	37	60	0	0
HEN	1817	0	0	6	8	8	0	22
ETH	2266	0	0	10	27	14	4	12
MAY	1693	0	0	1	9	12	2	9
ISA	2454	0	0	0	20	5	5	10
ABI	3964	0	0	39	38	94	0	2
ELL	2134	0	0	4	35	48	0	3
NAT	1452	0	0	0	8	0	7	10
JAS	2538	0	0	9	6	10	12	13
FLA	3162	0	0	19	13	23	2	15
GIL	2362	0	0	29	37	67	0	1
CHA	2042	0	0	15	5	10	1	1
ANT	2762	0	0	42	33	45	0	0
SEA	3048	0	0	21	63	177	0	0
ARI	4483	0	0	18	53	163	0	0
AVE	3170	0	0	10	49	268	0	0
HER	4142	0	0	0	2	5	3	18
LAR	2568	0	0	0	4	8	1	9
